JOBID PARTITION NAME USER STATE TIME TIME_LIMIT NODES NODELIST(REASON) PRIORITY
6633722 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q4JGI3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633721 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q3JGI3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633720 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q4JGI2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633719 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q3JGI2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633718 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q4JGI_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633717 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-q3JGI_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633716 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-DeepJGI5.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633715 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-DeepJGI4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633714 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-DeepJGI3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633713 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-DeepJGI2.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633712 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-DeepJGI.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633711 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA2.hhb-qMSA5.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
